id,img,url,Aperture,Aperture (35mm equiv.),Aperture priority,Auto focus,Batteries,Brand,Built-in flash,Crop factor,Digital zoom,Dimensions,Exposure Compensation,External flash,Flash modes,Focal length (35mm equiv.),ISO,LCD display,LCD resolution,LCD size,Macro focus range,Manual focus,Max. resolution,Max. shutter speed,Megapixels,Metering,Min. resolution,Min. shutter speed,Model,Normal focus range,Optical zoom,Selftimer,Sensor resolution,Sensor size,Sensor type,Shutter priority,Storage types,USB,Viewfinder,Weight,White balance presets,Year
C33,images/cameras/nikon_d600.png,http://www.digicamdb.com/specs/nikon_d600/,n/a,n/a,Yes,Yes,Lithium-Ion EN-EL15 rechargeable battery & charger,Nikon,Yes,1,No,141x113x82 mm,"&#177;5 EV (at 1/3 EV, 1/2 EV steps)",Yes,"Auto, On, Off, Red-eye, Slow sync, Rear curtain",n/a,"100 - 6400 in 1, 1/2 or 1/3 EV steps (50 - 25600 with boost)",Yes,"921,000","3.2""",n/a,Yes,6016 x 4016,1/4000 sec,24.30,"Multi, Center-weighted, Average, Spot",2944 x 1968,30 sec,D600,n/a,n/a,Yes,6038 x 4025,35.9 x 24 mm,CMOS,Yes,"SD,SDHC,SDXC x 2 slots",USB 2.0 (480 Mbit/sec),Optical,760g,12,2012
C34,images/cameras/nikon_coolpix_s9100.png,http://www.digicamdb.com/specs/nikon_coolpix-s9100/,f3.5 - f5.9,f19.7 - f33.2,No,Yes,Nikon EN-EL12 Lithium-Ion battery,Nikon,Yes,5.62,Yes,104.8x62x34.6 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off, Slow flash",25 - 450 mm,"Auto, 160 - 3200",Yes,"921,000","3""",4 cm,Yes,4000 x 3000,1/2000 sec,12.00,"Multi, Center-weighted, Spot, Spot AF-area",640 x 480,4 sec,Coolpix S9100,50 cm,18x,Yes,3995 x 3004,"1/2.3"" (~ 6.16 x 4.62 mm)",CCD,No,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),None,214g,5,2011
C35,images/cameras/nikon_coolpix_s6300.png,http://www.digicamdb.com/specs/nikon_coolpix-s6300/,f3.2 - f5.8,f18 - f32.6,No,Yes,Nikon EN-EL12 Lithium-Ion battery,Nikon,Yes,5.62,Yes,94x58x26 mm,&#177;2 EV (at 1/3 EV steps),No,"Auto, On, Off, Red-Eye, Slow-sync",25 - 250 mm,"Auto, 125, 200, 400, 800, 1600, 3200",Yes,"230,000","2.7""",10 cm,No,4608 x 3456,1/8000 sec,16.00,"Multi, Center-weighted, Spot, Spot AF-area",640 x 480,30 sec,Coolpix S6300,50 cm,10x,Yes,4612 x 3468,"1/2.3"" (~ 6.16 x 4.62 mm)",BSI CMOS,No,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),None,160g,5,2012
C36,images/cameras/nikon_775.png,http://www.digicamdb.com/specs/nikon_coolpix-775/,f2.8 - f4.9,f18.2 - f31.9,No,Yes,Nikon EN-EL1 Lithium-Ion & charger included,Nikon,Yes,6.5,Yes,87x67x44 mm,&#177;2 EV (at 1/3 EV steps),No,"Auto, Fill-in, Red-Eye reduction, Slow, Off",38 - 115 mm,"Auto, (100)",Yes,"110,000","1.5""",4 cm,No,1600 x 1200,1/1000 sec,1.90,"Multi, Center-weighted, Spot",1024 x 768,1 sec,Coolpix 775,30 cm,3x,Yes,1589 x 1195,"1/2.7"" (~ 5.33 x 4 mm)",CCD,No,Compact Flash (Type I only),USB 1.0 (1.5 Mbit/sec),Optical (tunnel),230g,5,2001
C37,images/cameras/nikon_l110.png,http://www.digicamdb.com/specs/nikon_coolpix-l110/,f3.5 - f5.4,f19.7 - f30.3,No,Yes,"4 x AA batteries (Alkaline, NiMH, or Lithium)",Nikon,Yes,5.62,Yes,109x74x78 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off",28 - 420 mm,auto,Yes,"230,000","3""",1 cm,No,4000 x 3000,1/2000 sec,12.20,"Multi, Center-weighted, Spot",640 x 480,8 sec,Coolpix L110,60 cm,15x,Yes,4029 x 3029,"1/2.3"" (~ 6.16 x 4.62 mm)",CCD,No,"SDHC, Secure Digital",USB 2.0 (480 Mbit/sec),None,406g,5,2010
C38,images/cameras/nikon_l22.png,http://www.digicamdb.com/specs/nikon_coolpix-l22/,f3.1 - f6.7,f17.4 - f37.7,No,Yes,"2 x AA batteries (Alkaline, NiMH or Lithium)",Nikon,Yes,5.62,Yes,98x61x28 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off",37 - 134 mm,auto,Yes,"230,000","3""",5 cm,No,4000 x 3000,1/2000 sec,12.20,"Multi, Center-weighted, Spot",640 x 480,8 sec,Coolpix L22,30 cm,3.6x,Yes,4029 x 3029,"1/2.3"" (~ 6.16 x 4.62 mm)",CCD,No,"SDHC, Secure Digital",USB 2.0 (480 Mbit/sec),None,183g,5,2010
C39,images/cameras/nikon_aw110.png,http://www.digicamdb.com/specs/nikon_coolpix-aw110/,f3.9 - f4.8,f21.9 - f27,No,Yes,Rechargeable Li-ion Battery EN-EL12,Nikon,Yes,5.62,Yes,110.1 x 65.3 x 24.5 mm,+/- 2 EV in steps of 1/3,No,"Auto, Red-eye, Fill-in, Slow sync, Off",28 - 140mm,"Auto, 125, 200, 400, 800, 1600, 3200",Yes,"614,000","3""",1 cm,n/a,4608 x 3456,1/5000 sec,16.00,"Matrix, Center-weighted, Spot",640 x 480,4 sec,Coolpix AW110,50 cm,5x,Yes,4612 x 3468,"1/2.3"" (~ 6.16 x 4.62 mm)",CMOS,No,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),None,193 g,5,2013
C40,images/cameras/panasonic_tz5.png,http://www.digicamdb.com/specs/panasonic_lumix-dmc-tz5/,f3.3 - f4.9,f18.8 - f27.9,No,Yes,Lithium-Ion rechargeable & charger,Panasonic,Yes,5.69,Yes,103.3x59.3x36.5 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off, Slow flash",28 - 280 mm,"Auto, 100, 200, 400, 800, 1600, 6400",Yes,"460,000","3""",5 cm,No,3456 x 2592,1/2000 sec,9.10,"Centre weighted, Intelligent Multiple, Spot",640 x 480,60 sec,Lumix DMC-TZ5,50 cm,10x,Yes,3479 x 2616,"1/2.33"" (~ 6.08 x 4.56 mm)",CCD,No,"SDHC, Secure Digital",USB 2.0 (480 Mbit/sec),None,214g,6,2008
C41,images/cameras/panasonic_lumix_dmc_zs8.png,http://www.digicamdb.com/specs/panasonic_lumix-dmc-zs8/,f3.3 - f5.9,f18.8 - f33.6,Yes,Yes,Lithium-Ion rechargeable battery & charger,Panasonic,Yes,5.69,Yes,105x58x33 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off, Slow flash",24 - 384 mm,"Auto, 100, 200, 400, 800, 1600 - 6400",Yes,"230,000","3""",3 cm,No,4320 x 3240,1/4000 sec,14.10,"Centre weighted, Intelligent Multiple, Spot",640 x 480,60 sec,Lumix DMC-ZS8,50 cm,16x,Yes,4330 x 3256,"1/2.33"" (~ 6.08 x 4.56 mm)",CCD,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),None,210g,6,2011
C42,images/cameras/panasonic_lumix_dmc_ts3.png,http://www.digicamdb.com/specs/panasonic_lumix-dmc-ts3/,f3.3 - f5.9,f18.8 - f33.6,No,Yes,Lithium-Ion rechargeable battery & charger,Panasonic,Yes,5.69,Yes,104x64x27 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off, Slow flash",28 - 128 mm,"Auto, 100, 200, 400, 800, 1600 - 6400",Yes,"230,000","2.7""",5 cm,No,4000 x 3000,1/1300 sec,12.10,Intelligent Multiple,640 x 480,60 sec,Lumix DMC-TS3,30 cm,4.6x,Yes,4011 x 3016,"1/2.33"" (~ 6.08 x 4.56 mm)",CCD,No,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),None,197g,6,2011
